Name,About,Genres,Keywords,ImageLink
Малышка на миллион,"Тренеру по боксу Фрэнку Данну так и не удалось воспитать чемпиона. Он владеет спортивным залом в Лос-Анджелесе, где всё ещё проводит тренировки. Дочь не отвечает на его письма, а его лучший боец подписал контракт с другим менеджером. Неожиданно в жизни Фрэнка появляется Мэгги Фицжеральд, 31-летняя официантка, мечтающая стать боксером. Фрэнк не желает тренировать женщину, но упорство Мэгги заставляет его передумать. Впереди - их главное сражение, требующее собрать в кулак всю волю и мужество.","драма, спорт",Адреналин | Ампутация | Бедность | Благосостояние | Бокс | Боксер | Главный герой - женщина | Женщина-боксер | Женщина-официант | Закадровый голос | Зал для занятий боксом | Зверство | Католик | Католическая церковь | Менеджер | Молитва | Название из трех слов | Неудачник | Озвучивание текста письма | Оскорбление на расовой почве | Отношения матери и дочери | Помощь при самоубийстве | Попытка самоубийства | Просмотр бокса по телевизору | Разница в возрасте | Рассказ от лица одного из героев | Решимость | Священник | Семейный конфликт | Сильная героиня | Сломанный нос | Смерть | Смерть главного героя | Спортсменка | Трагедия | Тренер по боксу | Тренировка | Удар локтем в лицо | Упоминание Микки Мауса | Фильм про бокс | Чувство вины | Эвтаназия,//avatars.mds.yandex.net/get-kinopoisk-image/9784475/4c6a018e-1cee-4f83-bd17-25f0dc99f28e/300x450
Пеле: Рождение легенды,История стремительного восхождения талантливого мальчика Пеле из трущоб Сан-Паулу - от дворовой босоногой команды до победы на Чемпионате мира.,"биография, спорт, драма",1950-е | Девочка | Закадровый комментарий в эпилоге | Имя персонажа в оригинальном названии | Кадры из реальной жизни в концовке | Множественные временные рамки | Нелинейное повествование | Основано на реальных событиях | Отношения отца и сына | Телевидение | Фильм заканчивается реальными фотографиями | Швед,//avatars.mds.yandex.net/get-kinopoisk-image/1599028/fa81d84c-9c37-4404-87bf-5d14efe188a5/300x450
Укрощение строптивого,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его.,"мелодрама, комедия","Баскетбол | Баскетбольный матч | Без бюстгалтера | Бензозаправка | Грудь (вид сбоку) | Двое, заигрывающие ногами с одним | Женская нагота | Женщина топлесс | Женщина, заигрывающая с женщиной ножкой | Женщина, заигрывающая с мужчиной ножкой | Заигрывание | Заигрывание под столом | Италия | Кровать | Не состоящий в браке | Ожерелье | Охотничий отряд | Пояс с подвязками | Раздевающаяся женщина | Серьга | Фермер | Черные трусы | Чулки",//avatars.mds.yandex.net/get-kinopoisk-image/1599028/76df764b-1c8b-4bc2-a822-fb2cf1afe2e3/300x450
Вторая жизнь Уве,"Уве - пожилой въедливый ворчун, достающий соседей вечными придирками. Он впадает в ярость при виде брошенного не туда мусора или неправильно припаркованной машины. И кроет на чем свет стоит легкомысленную семейку новосёлов, в которой папаша и гвоздя вбить не способен. Зато Уве умеет всё. В доме и в гараже у него всегда идеальный порядок. Как и в мыслях. Вот только жизнь давно перестала иметь для него смысл.","драма, мелодрама, комедия",Автобусная авария | Автомобиль Saab | Белые мужские плавки-трусы | Беременная женщина | Беременность | Больница | Брифы (плавки) | Букет цветов | Бычок (сигаретный) | Вдовец | Велосипед | Гнев | Горе | Закадровый голос | Замедленная сцена | Иранец | Испорченное самоубийство | Кошка | Младшая версия героя | Нелинейное повествование | Отношения мужа и жены | Отношения отца и сына | Отношения соседей | Отпуск | По мотивам романа | Попытка самоубийства | Потеря жены | Потеря любимого человека | Потеря матери | Потеря отца | Похороны | Прошлое и настоящее | Скряга | Спасение | Старый ворчун | Суицидальные мысли | Цветы | Швеция,//avatars.mds.yandex.net/get-kinopoisk-image/4716873/0d39048c-01ec-4e1f-a376-7581387c77df/300x450
Одна жизнь,"Скромного и непубличного джентльмена Николаса Уинтона приглашают на телевизионное ток-шоу, где он наконец-то узнает всю правду о событиях Второй мировой войны, когда он пытался спасти сотни детей от гибели в концлагере. Одна жизнь может изменить судьбы сотен людей — как в прошлом, так и в настоящем.","драма, биография, история",1930-е | 1938 год | 1940-е | Бассейн | Биржевой маклер | Британец за границей | Венгр | Виза | Вторая мировая война | Герои с реальными прототипами | Гуманист | Девочка | Еврейский | Европейская история | Ксенофобия | Мировая война | Младшая версия героя | Основано на жизни реального человека | Основано на реальных событиях | Просмотр телевизора | Ресторан | Спасение чужой жизни | Телеграмма | Упоминание Адольфа Гитлера | Филантроп | Филантропия | Фотография | ХХ век | Чешская история,//avatars.mds.yandex.net/get-kinopoisk-image/9784475/4564801f-fe39-4493-b042-98038357d242/300x450
Дюна: Часть вторая,"Герцог Пол Атрейдес присоединяется к фрименам, чтобы стать Муад Дибом, одновременно пытаясь остановить наступление войны.","фантастика, боевик, драма, приключения","Актерский ансамбль | Альбинос | Амбиции | Амфитеатр | Арена | Армия | Барон | Без сознания | Беременная женщина | Беременность | Беспощадность | Бинокль | Битва | Битва на мечах | Блокбастер | Боец сопротивления | Бой | Бой на смерть | Бомба | Борец за свободу | Борода | Борьба с системой | Будущее | Вера | Взрыв | Взрывающееся тело | Видение будущего | Видения | Винтовка | Власть / энергия | Вода | Возвращение с того света | Возвращение убитого персонажа | Воин | Воскрешение | Вторая часть | Вымышленная война | Выстрел в грудь | Галактика | Герцог | Гигантский червь | Гигантское существо | Главный герой мужского пола | Голограмма | Голубые глаза | Грызун | Дворец | Двусмысленный финал | День рождения | Дневник | Добро против зла | Достижение совершеннолетия | Дуэль | Дюна | Женская рвота | Женский плач | Женщина убивает мужчину | Женщина-боец | Женщина-воин | Жестовый язык | Жестокость | Животное | Заколотый насмерть | Замедленная сцена | Зародыш | Засада | Звездолёт | Зверство | Знание | Избранный | Император | Инопланетянин | Использование оружия двумя руками одновременно | Исследование | Камео | Колющий удар в горло | Колющий удар в грудь | Колющий удар в спину | Колющий удар в шею | Комбайн | Контрабандист | Контроль | Контроль над разумом | Космическая опера | Космические приключения | Космический вестерн | Космический корабль | Кровь | Крутая девчонка | Крутой парень | Курение | Лазер | Лазерное оружие | Левитация | Лидер | Лысый человек | Любовный интерес | Любовь | Манипуляция | Мать | Между жизнью и смертью (клиническая смерть) | Межрасовые отношения | Мессия | Месть | Меч | Младенец | Моление | Молодой человек | Монстр | Монтаж | Мужчина с обнаженной грудью | Муравей | Мышь | Мёртвое тело | Надежда | Наскальные рисунки | Наследник трона | Научное фэнтези | Нет титров в начале фильма | Нож | Обман | Огнемет | Один против всех | Опасность | Орнитоптер | Оружие массового уничтожения | Открытый космос | Отношения дяди и племянника | Отношения матери и сына | Отношения отца и дочери | Отравленный напиток | Падение с высоты | Паланкин | Палатка | Партизанская война | Перелом шеи | Перестрелка | Песок | Песчаная буря | Пещера | Пилот | Планета | Плач | Племя | По мотивам книги | По мотивам романа | Побег | Подразумеваемый секс | Поклонение | Поле боя | Поножовщина | Попытка убийства | Поцелуй | Поцелуй двух мужчин | Поцелуй между людьми разных национальностей | Предостережение | Предположительно мертвый | Приветствие толпы | Принцесса | Приход к власти | Произнесение нараспев | Пророк | Пророчество | Психованный | Психотронный фильм | Пустынная планета | Пустыня | Разоружение кого-либо | Разработка месторождения (горное дело) | Разрушение | Раса воинов | Раскрытие тайны | Рвота | Рейд | Решающая схватка | Ритуал | Родитель | Родословная | Руководство | Саботаж | Самолет | Саспенс | Сверхъестественные способности | Святая война | Сиквел | Силовое поле | Сильная героиня | Символ Мессии | Смерть | Соблазн | Совет | Солдат | Солнце | Сон, мечта | Сопротивление | Социопат | Спасение | Специя | Сражение | Стадион | Стилизованное насилие | Стояние на коленях | Страх | Судьба | Суеверие | Существо | Сцена с субтитрами | Сцена стрельбы | Татуировка | Татуировка на лице | Телепатия | Трансформация | Тренировка | Трико | Трон | Труп | Убийство | Угроза ножом | Удар камнем | Удар по голове прикладом | Ударенный ножом | Финальная битва | Храм | Червь | Черно-белая сцена | Честолюбивый человек | Чтение мыслей | Шпион | Шрам | Щит | Экшен-сцена в начале фильма | Электронная музыка в саундтреке | Эпическая битва | Эпопея | Яд | Ясновидение",//avatars.mds.yandex.net/get-kinopoisk-image/9784475/0c67265b-6631-4e25-b89c-3ddf4e5a1ee7/300x450
Отступники,"Два лучших выпускника полицейской академии оказались по разные стороны баррикады: один из них — агент мафии в рядах правоохранительных органов, другой — «крот», внедрённый в мафию. Каждый считает своим долгом обнаружить и уничтожить противника.","криминал, драма, триллер","2000-е годы | CD | CD-плеер | XXI век | Автомобильная авария | Агент ФБР | Азиатский гангстер | Актерский ансамбль | Американец индейского происхождения | Американец ирландского происхождения | Американец итальянского происхождения | Американец китайского происхождения | Американец пуэрториканского происхождения | Американский флаг | Арест | Архивные пленки | Аэропорт | Бар | Бассейн | Бег | Безвыходное положение | Бейсболка | Бензозаправка | Береговая линия | Беременность | Бесплодие | Беспощадность | Беспроводный сигнал | Бильярдный стол | Блондинка | Бой | Болото | Боль | Больница | Большой город | Бостон, Массачусетс | Брызги крови | Брюнетка (брюнет) | Будвайзер | Валиум | Вещевой мешок | Взрыв | Взрывающаяся машина | Влагалище | Вода | Военная тайна | Вооружённый | Вступительное закадровое повествование | Вуайеризм | Вуайерист | Выброшенный из здания | Выплата денег рекетирам (в целях «защиты» от их  нападок) | Выстрел в голову | Выстрел в грудь | Выстрел в колено | Выстрел в лицо | Выстрел в лоб | Выстрел в ногу | Вышибала | Вышибание двери | Гангстер | Гангстерская казнь | Гангстерское насилие | Гарвард (универститет) | Гаррота | Героин | Герой | Глава банды | Главный герой мужского пола | Глушитель | Гнев | Голая женщина (вид сзади) | Гольф | Гольф-клуб | Гордость | Граффити | Гроб | Грузчик | Губернатор | Двойная жизнь | Двустороннее зеркало | Дело | Деньги | Держать на прицеле | Детектив | Длинный кадр | Добро против зла | Дождь | Док | Документальные кадры | Дом | Домашнее насилие | Доносчик | Допрос | Драка на кулаках | Дробовик | Друг | Дружба | Душ | Еда | Женская нагота | Жестокость | Живущий с бабушкой | Забитый насмерть | Заброшенное здание | Заброшенный склад | Задрапированный флагом гроб | Зажигалка | Закусочная | Засада | Застреленный | Зверство | Злодей | Змея | Значок | Зубочистка | ИРА | Идущий под дождем | Избиение | Импотенция | Иностранный язык без субтитров | Интервью | Информатор | Ирландская мафия | Ирландский акцент | Ирландский гангстер | Истекающий кровью | Итальянский гангстер | Кадет | Казнь | Казнь гарротой | Камера видеонаблюдения | Капитан | Кафе | Кафе-мороженое | Квартира | Кисть, отделенная от тела | Китай | Китайская мафия | Кладбище | Клюквенный сок | Кожаная куртка | Коза Ностра | Козлиная бородка (эспаньолка) | Кокаин | Коктейль Молотова | Колющий удар в грудь | Колющий удар в живот | Комиксы | Компьютер | Контршпионаж | Коррумпированный полицейский | Коррупция | Костюм ангела | Краб | Крик | Криминальный босс | Криминальный эпос | Кровавые сцены | Кровотечение из носа | Кровь | Кровь на рубашке | Крот | Крутой парень | Крыса | Крыша | Культовый фильм | Курение сигарет | Курсант полицейской академии | Кухня | Лекарство | Лимузин | Лифт | Лодка | Ложь | Любовный треугольник | Любовь | Манипуляция | Мафиозное заказное убийство | Мафиозо | Мафия | Машина | Машина скорой помощи | Мексиканская дуэль | Менструация | Мертвая женщина | Мертвый человек | Место преступления | Метро | Микрофон | Микрочип | Многоквартирный дом | Мобильный телефон | Монахиня | Монтаж | Мост | Муж, бьющий жену | Мужчина в наручниках | НАСА | Наблюдение | Название, сказанное персонажем | Нанесение себе огнестрельной раны | Нанесение удара ножом | Наркодилер | Наркодилерство | Наркотики | Наркотически зависимый | Наручники | Наставник | Наушники | Национальная безопасность | Наёмный убийца | Неверность | Неистовство | Неожиданный финал | Неонуар | Непристойный жест пальцем | Нет названия в начале | Нет титров в начале фильма | Нижнее белье | Новости | Нож | Нож в груди | Номер социального страхования | Ноутбук | Ночной магазин | Обман | Обнимание | Образ отца | Обручальное кольцо | Объект жилищного строительства | Огнестрельное оружие | Огонь | Ограбление | Один миллион долларов | Опасность | Опера | Операторский прием «Dutch Angle» | Оперный театр | Организованная преступность | Ордер | Оригинальное название из двух слов | Осведомитель | Оскорбление действием | Оскорбление на расовой почве | Отдел внутренних расследований | Отморозок | Отношения девушки и парня | Отношения дяди и племянника | Отсутствие выживших | Очки | Падение с высоты | Паническая атака | Параллельный монтаж | Патрульный | Певец | Пейджер | Пение | Переводчик | Перевязанная рука | Перестрелка | Переулок | Перчатки | Пестик для колки льда | Пинок ногой | Пистолет | Плач | Плачущий мужчина | Плюющийся кровью | Пляж | Повязка для руки | Погоня | Под прикрытием | Поджог | Подожжённая машина | Поезд | Пожарный | Показать средний палец | Полицейская академия | Полицейская коррупция | Полицейская машина | Полицейская облава | Полицейская перестрелка | Полицейская подготовка | Полицейская слежка | Полицейский | Полицейский значок | Полицейский против полицейского | Полицейский участок | Полиция | Полиция штата | Помповый дробовик | Порванная рубашка | Порка | Порно театр | Постмодерн | Потасовка | Потерянная личность | Похоронная церемония | Похороны | Похороны полицейского | Поцелуй | Поцелуй во время секса | Поцелуй двух женщин | Предательство | Предписание | Преследование | Преследование подозреваемого | Преступная группировка | Преступная организация | Преступник | Преступный мир | Преступный мир / преисподняя | Преступный синдикат | Пригородный поезд | Признание | Принятие пищи | Продвижение по службе | Пролог | Прослушивание телефонных разговоров | Просмотр оперы | Просмотр порно | Просмотр телевизора | Просмотр фильма | Проститутка | Просьба убить | Пружинный нож | Психиатр | Психоанализ | Пулемет | Пытки | Пьянство | Разбитое стекло | Разрушение | Рана | Расизм | Расовые предрассудки | Распитие спиртных напитков | Рассказ от лица одного из героев | Расследование | Ревность | Револьвер | Река | Реклама товара в кино | Религия | Ремейк азиатского фильма | Ремейк китайской картины | Ресторан | Риелтор | Римейк | Рисование | Самолет | Самообман | Свидание | Свидание с ужином | Свидетель | Свист | Связанные за спиной руки | Связанный, с кляпом во рту | Связь на стороне | Священник | Северная Америка | Сердечный приступ | Сержант полиции | Сирота | Склад | Слайд-шоу | Сломанная рука | Случайное убийство | Смерть | Смерть главного героя | Смерть друга | Смерть матери | Смерть от падения с высоты | Солнцезащитные очки | Сомнение | Сонограмма | Спальня | Спор | Старик | Страховая выплата | Стрельба | Стреляная рана | Суеверие | Суицидальные мысли | Сумка | Сумка с деньгами | Сцена стрельбы | Таблетки | Тайвань | Таран | Татуировка | Театральная ложа | Текстовое сообщение | Телевизионный монитор | Телефон-раскладушка | Телефонный звонок | Техника съемки из эры немого кино «Iris shot» | Толпа ирландцев | Торговец оружием | Торговля наркотиками | Травма головы | Триада | Трусики «танга» | Туннель | Тюрьма | Убежище | Убийство | Убийство главного героя | Убийство офицера полиции | Убийство полицейского | Увеличительное стекло | Уголовник | Удар коленом в пах | Удар по голове бутылкой | Удар по лицу | Удушение | Ужин | Узи | Уличная банда | Уличная перестрелка | Умирающий | Унижение | Упоминание Авраама Линкольна | Упоминание Брюса Ли | Упоминание Джеймса Джойса | Упоминание Джона Леннона | Упоминание Зигмунда Фрейда | Упоминание Иисуса Христа | Упоминание Макбет Шекспира | Упоминание Уильяма Шекспира | Уродство | Учебная стрельба | Фаллоимитатор | Флешбэк | Флешбэк во флешбэке | Фотоаппарат с фотовспышкой | Фотографирование | Фотография | Фургон | Христианин | Цветы | Церковь | Чувство вины | Чувство горечи | Школьный автобус | Шлепок | Шотландский акцент | Шпион | Шпионаж | Шрам | Шумная ссора | Шутка на тему секса | Экранизация | Элитный отряд | Этническая ненависть | Этнический конфликт | Юрист | Ярость",//avatars.mds.yandex.net/get-kinopoisk-image/1898899/f2c70176-43c8-4ca6-8f67-7119a2b73f19/300x450
Гарри Поттер и Дары Смерти: Часть II,"Битва между добрыми и злыми силами мира волшебников перерастает во всеобщую войну. Ставки ещё никогда не были так высоки, а поиск убежища — столь сложен. И, быть может, именно Гарри Поттеру придется пожертвовать всем в финальном сражении с Волан-де-Мортом.","фэнтези, детектив, приключения, семейный",Банк | Битва | Близнецы | Ведьма | Возвращение с того света | Волшебство | Герой | Господство террора | Достижение совершеннолетия | Дракон | Дружба | Замок | Злой волшебник | Змея | Кровь | Лес | Маловероятный герой | Мальчик-младенец | Маскировка | Меч | Огонь | Паук | Пляж | По мотивам романа | Подросток | Поезд | Призрак | Решающая схватка | Сиквел | Сильная героиня | Сильная женщина | Смерть | Смерть брата-близнеца | Смерть друга | Спасение | Учитель | Финальная битва | Эпилог,//avatars.mds.yandex.net/get-kinopoisk-image/4303601/82b5cc4a-18c7-4180-a98a-0c96528d63dd/300x450
Троя,"1193 год до нашей эры. Парис украл прекрасную Елену, жену царя Спарты Менелая. За честь Менелая вступается его брат – царь Агамемнон. Его армия под предводительством Ахиллеса подошла к Трое и взяла город в кровавую осаду, длившуюся долгих десять лет… Два мира будут воевать за честь и власть. Тысячи умрут за славу. И за любовь нация сгорит дотла.","боевик, история, драма, мелодрама","13-й век до Рождества Христова | Античность | Армия | Битва | Битва на мечах | Блокбастер | Блондинка (блондин) | Бог | Боевик | Боевые искусства | Бой | Бой на смерть | Большой город | Братство | Бренд человека | Брендинг | Бронзовый век | Броня | Брызги крови | Власть / энергия | Внезапное нападение | Внутренний двор | Военно-морской флот | Военный корабль | Воин | Вооруженные силы | Ворота | Вторжение | Вызов | Выстрел в ступню | Героизм | Герой | Главный герой мужского пола | Глубокая старость | Голая женщина (вид сзади) | Голый мужчина (вид сзади) | Гордость | Горящая стрела | Горящий город | Горящий человек | Грабеж | Грек | Греко-римская борьба | Греция | Греческая мифология | Групповое изнасилование | Дворец | Деревня | Длинные каштановые волосы | Длинные светлые волосы | Древний мир | Древняя Греция | Древняя Троя | Древняя цивилизация | Дуэль | Европа | Елена Троянская | Жадность | Жена, изменяющая мужу | Женская грудь | Женская нагота | Женская нагота (вид спереди) | Женщина топлесс | Женщина, снимающая платье | Жестокость | Жрица | Захват | Зверство | Изнасилование | Изнасилование в тюрьме | Империя | Кинжал | Колесница | Колющий удар в бок | Колющий удар в голову | Колющий удар в горло | Колющий удар в грудь | Колющий удар в лицо | Колющий удар в ногу | Колющий удар в плечо | Колющий удар в руку | Колющий удар в спину | Колющий удар мечом | Копьё | Корабль | Коридор | Королева | Королевство | Король | Кремация | Крик Вильгельма (звуковой эффект) | Кровавые сцены | Кровь | Лук и стрелы | Лучник | Лучший друг | Мародерство | Место в названии | Местоположение в оригинальном названии | Месть | Меч | Меч и магия | Миф | Мифология | Младенец | Молоток | Мужская нагота | Мужчина с обнаженной грудью | Мужчина, дающий пощечину женщине | Нагота (вид сзади) | Название города в оригинальном названии | Название, сказанное персонажем | Нарушенный договор | Неожиданный финал | Нет названия в начале | Нет титров в начале фильма | Нищенство | Нож | Обезглавливание статуи | Обман | Обряд | Обычай | Окруженный стеной город | Оправдание | Осквернение | Основано на реальных событиях | Отвага | Отношения кузенов | Отношения между братьями | Отношения мужа и жены | Отношения мужа/жены с родственниками второй половины | Отношения мужчины и женщины | Отношения отца и сына | Отношения свекра и снохи | Отступление | Отцовство | Падение с высоты | Палатка | Пеплум | Перерезание горла | План побега | По мотивам книги | По мотивам поэмы | По мотивам романа | Побег | Победа | Погребальный костер | Подарок | Подстреленный стрелой | Поле боя | Полностью обнаженная женщина | Полуобнаженная женщина | Порез ахиллова сухожилия | Последние слова | Постельная сцена | Потеря мужа | Потеря сына | Похороны | Поцелуй | Поцелуй во время секса | Поцелуй руки | Предательство | Принц | Принятый за другого | Протыкание | Прощание | Раб | Раздевание | Рана от удара мечом | Ритуал | Рукопашный бой | Самозванец | Самомнение | Свержение | Священник | Слава | Сломанная стрела | Смерть | Смерть брата | Смерть героя | Смерть главного героя | Смерть кузена / кузины | Смерть мужа | Смерть сына | Соглашение | Солдат | Сражение | Страх | Стрельба из лука | Супружеская измена | Сцена смерти | Торжество | Трагедия | Трагический герой | Троя | Троянец | Троянская война | Троянская империя | Троянский конь | Труп | Трус | Трусость | Убийство ребенка | Флот | Честь | Шаровая молния | Шов | Щит | Эгейское море | Экшен-сцена в начале фильма | Эпопея",//avatars.mds.yandex.net/get-kinopoisk-image/1704946/975ba4cc-161d-450b-9f2f-fc26018d36e4/300x450
Кин-дза-дза!,"Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическими путешествиями. А все эта встреча со странным босоногим человеком с каким-то маленьким устройством — «машинкой перемещения», как тот ее назвал. Владимир Николаевич нажал кнопку и оказался вместе со случайным попутчиком, студентом в кроличьей шапке, в пустыне — на планете Плюк в тентуре, галактика Кин-дза-дза в спирали.","фантастика, драма, комедия",Абсурдизм | Абсурдный юмор | Коробка спичек | Космический корабль | Космическое путешествие | Культовый фильм | Музыкант | Открытый космос | Планета | Повторение слов в оригинальном названии | Путешествие во времени | Сатира | Скрипка | Советский | Спичка | Спички | Сюрреализм,//avatars.mds.yandex.net/get-kinopoisk-image/1629390/4495b850-219d-4ca3-a2d8-ada7c8c2824f/300x450
Ла-Ла Ленд,"Это история любви старлетки, которая между прослушиваниями подает кофе состоявшимся кинозвездам, и фанатичного джазового музыканта, вынужденного подрабатывать в заштатных барах. Но пришедший к влюбленным успех начинает подтачивать их отношения.","мюзикл, драма, мелодрама, комедия, музыка","2010-е | Toyota Prius | XXI век | Автомобильный гудок | Автомобильный приёмник | Актриса | Аллитерационное название | Аплодисменты | Афроамериканец | Бар | Барабанщик | Барабаны | Басист | Бассейн | Белый спаситель | Библиотека | Бикини | Блик в объективе камеры | Большие мечты | В центре внимания | Вальс | Вандализм | Велосипед | Весна | Вечеринка | Вечеринка у бассейна | Видеокамера | Визажист | Вино | Воздушный поцелуй | Вымышленный эпизод | Выскочка | Галантерейщик | Гастроли | Глобус | Голливуд, Калифорния | Гольф-кар | Граммофон | Гримёрная | Девочка | Девушка мечты | Джаз | Джаз клуб | Джаз-банд | Джазовая музыка | Джазовый музыкант | Домашнее кино | Дорожная пробка | Драматург | Душ | Дымовая пожарная сигнализация | Женский туалет | Женщина-официант | За кулисами | Забавные эпизоды, приводящие к знакомству | Замедленная сцена | Запись (бумажная, аудио, видео) | Зеркало | Зима | Зрители | Игрушечный самолет | Извинение | Испаноязычный американец | Кастинг-менеджер | Кинотеатр | Клавиатура | Ключи от машины | Компромисс | Компьютер | Контракт | Концерт | Кофе | Кофейня | Курица в качестве еды | Левитация | Лето | Лифт | Лос-Анджелес, Калифорния | Маятник | Младенец | Мобильный телефон | Монтаж | Музыкальная группа | Музыкант | Мягкая фетровая шляпа | Навешивание ярлыков | Название из трех слов | Натурная съемочная площадка | Натыкающийся на кого-то | Небеса | Нелинейное повествование | Неожиданность | Непристойный жест пальцем | Нет титров в начале фильма | Ноги | Ночной клуб | Обратимый | Открытый космос | Отношения брата и сестры | Отношения девушки и её бывшего парня | Отношения девушки и парня | Отношения матери и дочери | Отношения мужчины и женщины | Отношения тети и племянницы | Отправка СМС | Отшельник (аскет) | Памятные вещи | Память | Париж, Франция | Певец | Пение | Пение в машине | Песня | Печальная концовка | Пианино | Пианист | Пирс | Писатель | Планетарий | Плачущая женщина | Повторение слов в оригинальном названии | Повторяющаяся сцена с разных точек зрения | Позирование | Показать средний палец | Постмодерн | Поцелуй | Поцелуй у всех на виду | Приготовление еды | Приходящая няня | Пролитый кофе | Пролог | Пронзительный крик | Прослушивание | Прослушивание музыки | Прослушивание радио в машине | Просмотр фильма | Прыжок в бассейн | Прыжок в реку | Пьеса | Пятно | Разделение экрана на части | Разрыв отношений | Репетиция | Родной город | Рождественская елка | Рождественская музыка | Рождественские украшения | Рождество | Саксофон | Саксофонист | Салют | Самба | Свадебное торжество | Свист | Скамейка | Скейтборд | Скейтбордист | Скоростная автострада со сквозным движением | Служебный вход | Создание фильма | Солнцезащитные очки | Сон, мечта | Сосед по комнате | Страсть | Стремление быть актрисой | Студия звукозаписи | Стук в окно | Съемка сверху | Съемочная площадка | Сюрреализм | Табурет | Танец на улице | Танцор | Танцы | Театр | Телефон | Телефонный звонок | Техника съемки из эры немого кино «Iris shot» | Тромбон | Труба | Трубач | Упоминание Джеймса Дина | Упоминание Ингрид Бергман | Упоминание Клеопатры | Упоминание Марлона Брандо | Упоминание Мэрилин Монро | Упоминание Хамфри Богарта | Упоминание Чарли Чаплина | Упоминание Ширли Темпл | Упоминание Элизабет Тэйлор | Утихомиривание | Уход с работы | Флешбэк | Флешфорвард | Фотоаппарат | Фотограф | Фотография | Фотосъемка | Хула-хуп | Цветы | Четыре сезона | Шампанское | Щелкание пальцами | Яркий цвет",//avatars.mds.yandex.net/get-kinopoisk-image/10835644/7e786437-eada-4d23-baea-f3a5ebf57e06/300x450
Война,"Аслан Гугаев, командир отряда чеченских боевиков, отпускает троих пленников: двух русских солдат, сержанта Ивана Ермакова и рядового Кулика — потому что они не контрактники, а призывники, и англичанина Джона Бойла — потому что он должен собрать два миллиона фунтов стерлингов и привезти деньги Гугаеву в качестве выкупа за свою невесту Маргарет. Маргарет остается у Аслана. Так же, как и капитан российской армии Медведев...","боевик, военный, история, драма",Британский турист | Военный офицер | Партизан | Повстанец | Похищение людей | Россия | Русский солдат | Спасение | Чечня,//avatars.mds.yandex.net/get-kinopoisk-image/1704946/7a06c242-ede9-4c91-a865-6a0f0b9c66eb/300x450
Молчание ягнят,"Психопат похищает и убивает молодых женщин по всему Среднему Западу. ФБР, уверенное, что все преступления совершены одним и тем же человеком, поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком Ганнибалом Лектером, который мог бы помочь составить психологический портрет убийцы. Сам Лектер отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае, если она попотчует его больное воображение подробностями своей личной жизни.","триллер, детектив, криминал, драма, ужасы",Агент ФБР женского пола | Главный герой - женщина | Голая женщина (вид сзади) | Зверство | Изверг | Каннибал | Каннибализм | Корзина | Культовый фильм | Лосьон | Манипуляция | Мотылёк | Ношение человеческой кожи | Переодевание в одежду человека другого пола | По мотивам деяний Эда Гейна | По мотивам книги | Поедание человеческой плоти | Потеря дочери | Похищение людей | Преследуемый воспоминаниями прошлого | Прибор ночного видения | Психолог | Психологический триллер | Психопат | Самоубийство | Сбежавший заключенный | Сбежавший убийца | Сдирание кожи | Серийное убийство | Серийный убийца | Сильная героиня | Сильная женщина | Тёмное прошлое | Убийство | Убийство офицера полиции | Шланг,//avatars.mds.yandex.net/get-kinopoisk-image/6201401/9c655ce1-2b59-4941-97aa-f9e928ed0ff4/300x450
Приключения Реми,"Удивительное путешествие по Франции маленького Реми в компании уличного музыканта, обезьянки и цирковой собаки.  Вместе им предстоит пережить неожиданные встречи, приключения и испытания, чтобы раскрыть тайну происхождения мальчика.","мелодрама, приключения, семейный",Аплодисменты | Арест | Арфа | Бородатый мужчина | Волк | Врач | Гостиница | Девочка | Деревня | Имя персонажа в оригинальном названии | Испытание | Кашель | Книга | Корова | Крик о помощи | Мальчик | Мальчик-певец | Мальчик-сирота | Название из трех слов | Обезьяна | Обучение | Озвучивание текста письма | Отношения мужа и жены | По мотивам романа | Полицейский | Приемная мать | Провинция | С завязанными глазами | Сиротский приют | Скрипач | Снежный буран | Торт | Туберкулез | Тюрьма | Флешбэк | Фонарь | Холодильник | Шторм,//avatars.mds.yandex.net/get-kinopoisk-image/1599028/3bb8ef0f-0230-4eeb-acb0-e2b44329de37/300x450
Шерлок Холмс и доктор Ватсон: Смертельная схватка,"Шерлок Холмс вступил в смертельную схватку с главарем английской преступности профессором Мориарти. В сети полиции попали все, кроме главаря, и друзья на время решили укрыться в тихой Швейцарии. Но от гнева Мориарти ещё не ускользал никто.","криминал, детектив",Имя персонажа в оригинальном названии | Иностранноязычная адаптация | По мотивам рассказа | Шерлок Холмс,//avatars.mds.yandex.net/get-kinopoisk-image/1629390/4faf245a-e3d4-4f41-9284-b23fa9e2cb69/300x450
